Company,Current Price,Highest Price,Lowest Price,1Y Return %,3Y Return %,5Y Return %
ICICIGI,2675.26,2675.26,1226.79,49.28989559093523,59.90794979079499,0.0
ICICIPRULI,4738.94,5333.72,2994.16,4.366076521409742,-7.137874274964733,0.0
INDIGO,5956.44,6169.23,1579.29,21.655835004717986,155.0227987926273,0.0
INDUSINDBK,7298.22,8133.88,2193.75,11.452302814933368,91.62675656941207,0.0
INFY,6320.11,6320.11,2682.65,32.94047861946239,84.17600158528482,0.0
IOC,897.62,1196.56,701.18,-9.591579795538099,15.354563446166502,0.0
IRCTC,11199.06,11199.06,4448.46,35.39939524587331,79.14253904675374,0.0
IRFC,5420.54,5953.64,3591.57,21.33192166588697,-2.324164972826487,0.0
ITC,13452.44,15507.44,4259.12,44.73128436744535,86.70278837573053,0.0
JINDALSTEL,9322.13,9322.13,5022.78,25.249299328483936,45.9732641841223,0.0
JIOFIN,9945.52,10955.37,2771.31,15.650019128640988,71.5928226363009,0.0
JSWENERGY,7339.13,10038.61,4020.2,16.482848486098973,-7.4076363691416365,0.0
JSWSTEEL,1195.78,1207.07,464.95,64.40002199736031,100.92752843916455,0.0
KOTAKBANK,1773.6,1931.33,895.43,-3.2986205768496815,88.23029981427433,0.0
LICI,316.49,316.49,176.0,40.17627779254141,49.28069430687233,0.0
LODHA,3585.35,3781.59,1591.92,20.735928986590697,16.769909198681617,0.0
LT,2865.38,2966.18,1906.65,33.37398411826585,37.45730513873432,0.0
LTIM,2189.87,2304.11,1153.74,42.97456990826885,57.48115866988839,0.0
M&M,5916.0,6601.27,2619.99,-4.815229563269873,37.89245507307181,0.0
MARUTI,5024.31,5590.07,1805.24,28.379134567475383,82.0547290001377,0.0
MOTHERSON,3572.59,3572.59,1174.1,32.2299948182693,184.63904137420027,0.0
NAUKRI,5037.85,5037.85,2576.12,28.264633245920017,80.44715549076427,0.0
NESTLEIND,1031.99,1031.99,494.48,49.23070249009458,43.4375304043254,0.0
NHPC,8867.11,10145.32,4254.48,-8.682237283178353,7.685833786724711,0.0
NTPC,491.77,579.14,348.08,8.434027165284883,6.515194177911582,0.0
ONGC,9807.29,10241.7,5292.72,12.255482122295005,34.263305460180824,0.0
PFC,7863.42,8254.03,3802.94,13.456985174764638,-2.4384736400676923,0.0
PIDILITIND,684.74,950.51,552.47,3.950085013359239,-15.946725587675687,0.0
PNB,260.84,269.87,85.01,37.90113666402324,102.35841737781224,0.0
POWERGRID,6793.93,7104.44,3076.28,10.976930477806835,81.11544162339118,0.0
RECLTD,6990.29,8440.16,3588.85,-9.278279603384727,6.347576319096426,0.0
RELIANCE,2566.52,3565.43,2261.27,-0.6537870489004793,-17.109831443437145,0.0
SBILIFE,8028.33,8141.5,3424.81,36.87608688239507,68.00027622228359,0.0
SBIN,1439.29,1490.48,434.45,17.771868095900505,70.1549883551846,0.0
SHREECEM,2437.89,2617.1,1117.5,-6.561674760165431,71.80096122676213,0.0
SHRIRAMFIN,1399.07,1666.24,632.55,7.927948777289206,19.44591479552634,0.0
SIEMENS,2994.57,4722.8,2464.57,-14.395364393649187,-26.20467527858963,0.0
SUNPHARMA,4526.74,5177.7,2547.56,24.010760818348167,27.59359374031083,0.0
TATACONSUM,3845.49,3859.74,1503.18,16.751119544592026,60.24010034044077,0.0
TATAMOTORS,500.16,545.07,285.47,10.262119441811251,18.18525519848772,0.0
TATAPOWER,2694.83,3182.84,1678.16,11.637550695759167,26.355298817483625,0.0
TATASTEEL,4917.08,4917.08,1602.31,50.978411390286816,127.05603117871425,0.0
TCS,5043.81,6152.55,3309.89,1.424296900450049,0.5702652531000768,0.0
TECHM,5812.51,5812.51,2789.02,21.7356064255346,18.27290319036157,0.0
TITAN,5290.62,6859.15,4220.78,-11.317361154180755,8.536447766031861,0.0
TORNTPHARM,2248.34,2564.52,1595.95,24.767068250806044,19.196920858427355,0.0
TRENT,835.01,1648.19,587.13,-44.76387666946703,-13.825878759107518,0.0
TVSMOTOR,7640.79,7815.18,3693.09,23.999344364455464,51.07391772858938,0.0
